Episode,Throughput,Latency,Fairness
1,414.0,485.0,0.5899628252787901
2,231.0,223.0,0.3500688840779144
3,353.0,533.0,0.5286538543124802
4,179.0,75.0,0.23519782720397597
5,427.0,831.0,0.6744682425183784
6,183.0,223.0,0.2832529814767586
7,396.0,534.0,0.5729066199035301
8,374.0,580.0,0.5723708977821191
9,382.0,852.0,0.6499376447532224
10,379.0,695.0,0.5376792064383104
11,453.0,582.0,0.6720011788977086
12,261.0,327.0,0.4280301602261748
13,706.0,1426.0,0.546710540748047
14,471.0,678.0,0.675376746734841
15,86.0,47.0,0.10212648439656144
16,299.0,462.0,0.4354863851137203
17,472.0,826.0,0.7716264893321982
18,286.0,452.0,0.41499746321662023
19,393.0,692.0,0.6535863907578751
20,365.0,847.0,0.5630573517602568
21,472.0,911.0,0.7641627220964271
22,360.0,594.0,0.5131860299358314
23,309.0,343.0,0.46742546629458714
24,373.0,657.0,0.5848951107747683
25,100.0,18.0,0.13517166801836508
26,109.0,65.0,0.15284960761608737
27,448.0,1012.0,0.763191117195195
28,325.0,302.0,0.43840534595108793
29,6.0,0.0,0.059999999999
30,261.0,370.0,0.360142743854065
31,336.0,581.0,0.5701818181817894
32,171.0,260.0,0.21918147065435728
33,374.0,539.0,0.5342040941032488
34,307.0,384.0,0.42402933369323687
35,214.0,306.0,0.265207319898062
36,277.0,391.0,0.3685881731277144
37,426.0,379.0,0.6118956099534489
38,361.0,630.0,0.4986836566792753
39,192.0,317.0,0.24351961950057843
40,180.0,177.0,0.23376623376621689
41,417.0,880.0,0.6225217484695298
42,462.0,879.0,0.7146243471273365
43,156.0,185.0,0.22433628318582002
44,504.0,721.0,0.7542490646712764
45,321.0,393.0,0.4618394513916695
46,418.0,394.0,0.5806713193751883
47,328.0,566.0,0.4698812019566531
48,416.0,510.0,0.5717079616782104
49,86.0,8.0,0.12894002789398032
50,232.0,369.0,0.4283985991722041
51,167.0,186.0,0.25227498869287635
52,193.0,252.0,0.24699290497975948
53,365.0,534.0,0.5513138837160955
54,328.0,366.0,0.475866949752279
55,330.0,456.0,0.45228008970842876
56,396.0,692.0,0.6004135079255456
57,469.0,706.0,0.65834904672112
58,436.0,515.0,0.6149585921324853
59,217.0,424.0,0.302842626535449
60,287.0,333.0,0.36958316507379324
61,329.0,516.0,0.517726120438106
62,460.0,860.0,0.701405462741955
63,389.0,727.0,0.6070566052874149
64,31.0,67.0,0.03555308916017923
65,438.0,593.0,0.6633609958505995
66,404.0,658.0,0.5945938069216541
67,495.0,973.0,0.7780794512717673
68,308.0,309.0,0.4134588563458676
69,219.0,333.0,0.2940408313407949
70,437.0,601.0,0.5741529118186292
71,297.0,575.0,0.4105990783409947
72,327.0,544.0,0.4802991510577873
73,153.0,240.0,0.21140612300187742
74,293.0,463.0,0.45129054302683846
75,414.0,686.0,0.6356475300400298
76,354.0,710.0,0.5534181240063348
77,486.0,854.0,0.7539934878375549
78,300.0,346.0,0.4430005906674324
79,390.0,685.0,0.6057347670250655
80,29.0,38.0,0.03824465666210175
81,388.0,735.0,0.5362399373085226
82,374.0,677.0,0.5774750227066064
83,293.0,358.0,0.38252016218863866
84,316.0,435.0,0.43351567248413503
85,84.0,114.0,0.10700636942673537
86,283.0,315.0,0.3919590857925712
87,328.0,455.0,0.45881951552369243
88,339.0,516.0,0.5161972779948562
89,280.0,383.0,0.38935240365512563
90,397.0,603.0,0.5674082874320276
91,30.0,25.0,0.04065040650404668
92,240.0,267.0,0.3375527426160139
93,173.0,241.0,0.2550839512485933
94,440.0,522.0,0.63654895771682
95,467.0,876.0,0.6662664589252233
96,339.0,296.0,0.48892150606251905
97,392.0,643.0,0.5654817104585057
98,176.0,232.0,0.24595839288548152
99,189.0,131.0,0.251361621279273
100,399.0,601.0,0.6312239800166277
