Episode,Throughput,Latency,Fairness
1,162.0,160.0,0.6843285528029507
2,84.0,186.0,0.8787048567859543
3,98.0,180.0,0.940646425072536
4,115.0,235.0,0.7722627737221768
5,35.0,65.0,0.27936145952045754
6,82.0,134.0,0.7421633554075693
7,47.0,76.0,0.6487518355340712
8,29.0,0.0,0.21426751592302098
9,68.0,162.0,0.9379310344808561
10,170.0,469.0,0.9048215403879446
11,172.0,253.0,0.7340942928037881
12,235.0,305.0,0.7369720424366802
13,108.0,125.0,0.9006949806942851
14,78.0,138.0,0.9536050156724866
15,153.0,262.0,0.7494477349125181
16,1.0,0.0,0.1999999996
17,26.0,53.0,0.2901287553635617
18,174.0,338.0,0.8554959027971587
19,68.0,136.0,0.6850370370360221
20,113.0,161.0,0.9269691470047716
21,56.0,108.0,0.48771384136782625
22,93.0,209.0,0.8627431421437778
23,93.0,171.0,0.912823218996398
24,145.0,129.0,0.7273828057426994
25,117.0,200.0,0.6795234549512635
26,101.0,67.0,0.7910818146562302
27,64.0,19.0,0.5720670391053463
28,117.0,177.0,0.69364073980203
29,149.0,167.0,0.9026631429148596
30,91.0,184.0,0.925768585801089
31,201.0,499.0,0.7500417710942635
32,183.0,419.0,0.7311210566530443
33,72.0,87.0,0.7395149786009422
34,18.0,4.0,0.2492307692288521
35,283.0,399.0,0.8685971476600111
36,133.0,84.0,0.6584403498973912
37,116.0,59.0,0.5847892220771035
38,133.0,289.0,0.7174609612651723
39,55.0,115.0,0.5358724534977222
40,213.0,310.0,0.8707225794067996
41,80.0,39.0,0.9453471196440985
42,64.0,16.0,0.7501831501817763
43,94.0,215.0,0.8783300198798425
44,101.0,60.0,0.9573908962919216
45,74.0,65.0,0.6752157829831379
46,181.0,443.0,0.8253180501320506
47,84.0,105.0,0.7762376237615223
48,3.0,0.0,0.19999999995555556
49,51.0,22.0,0.46239999999917797
50,107.0,156.0,0.8402935779810345
51,47.0,42.0,0.41328344246882454
52,15.0,0.0,0.29411764705497884
53,84.0,97.0,0.8470588235283948
54,176.0,285.0,0.7158770510744822
55,93.0,174.0,0.9176657824923949
56,260.0,562.0,0.7406595814615163
57,30.0,82.0,0.32846715328347276
58,56.0,47.0,0.7800995024856217
59,95.0,162.0,0.9347488347996532
60,49.0,32.0,0.5401574803137454
61,46.0,43.0,0.4173570019715634
62,153.0,261.0,0.7350918511537965
63,190.0,213.0,0.8933432318730777
64,111.0,150.0,0.9599532528235606
65,62.0,91.0,0.7493177387899623
66,108.0,171.0,0.8863221884491744
67,83.0,80.0,0.9750884642590586
68,35.0,52.0,0.5314533622536597
69,100.0,188.0,0.7980845969666416
70,257.0,455.0,0.8428380016587963
71,145.0,302.0,0.5266123982465807
72,202.0,399.0,0.7060737151755138
73,53.0,103.0,0.5396733909691841
74,93.0,67.0,0.9235451147881222
75,71.0,176.0,0.6450415866914331
76,152.0,450.0,0.736734693877316
77,37.0,34.0,0.28851422549991884
78,96.0,88.0,0.7830076465583831
79,60.0,85.0,0.7708779443238312
80,133.0,468.0,0.8016768638111028
81,163.0,300.0,0.8664275232346759
82,236.0,349.0,0.9037157228620958
83,78.0,243.0,0.9734399999984426
84,6.0,0.0,0.19999999998888887
85,148.0,281.0,0.797088791848327
86,64.0,70.0,0.5785310734455106
87,171.0,203.0,0.7519866272339587
88,86.0,104.0,0.9142150803449762
89,19.0,0.0,0.47189542483043273
90,75.0,114.0,0.6038647342988686
91,43.0,13.0,0.5733333333315556
92,134.0,507.0,0.8289935364723781
93,84.0,127.0,0.8223776223766638
94,132.0,227.0,0.756578376030935
95,39.0,77.0,0.5929824561380391
96,113.0,274.0,0.6111031347209327
97,146.0,417.0,0.9308296943227375
98,26.0,58.0,0.21597444089387868
99,56.0,72.0,0.5916981132064307
100,84.0,110.0,0.9151750972750776
