Episode,Throughput,Latency,Fairness
1,1492.0,3122.0,0.7843445661212325
2,1224.0,2887.0,0.643148567896144
3,1427.0,2237.0,0.7528324626879439
4,1312.0,2610.0,0.7311365393273669
5,1528.0,2532.0,0.8158559767415828
6,1428.0,2681.0,0.715910096265243
7,1524.0,2701.0,0.773573141486808
8,1483.0,2429.0,0.7479124795532814
9,1605.0,3646.0,0.7313411860898873
10,1731.0,4190.0,0.8112898116334019
11,1357.0,2675.0,0.6611763987777838
12,1222.0,2316.0,0.686567356321836
13,1953.0,5325.0,0.8994142573164757
14,1506.0,2416.0,0.77638432467959
15,1329.0,2107.0,0.718501116657104
16,1705.0,4169.0,0.8161513474663568
17,1472.0,2382.0,0.7664063384267092
18,1327.0,2255.0,0.6887857559151493
19,1317.0,1682.0,0.7055672845758609
20,1870.0,4055.0,0.859827193642455
21,1559.0,2170.0,0.7523288171583672
22,1682.0,4150.0,0.8074951906335782
23,1431.0,3286.0,0.7145637267730937
24,1587.0,4116.0,0.8025802319245121
25,1348.0,3452.0,0.6622147391744814
26,1089.0,1566.0,0.6816695694159399
27,1736.0,3934.0,0.8096110036535548
28,1490.0,2703.0,0.756092743198875
29,1430.0,3226.0,0.6982088104944698
30,1638.0,2791.0,0.7634864264982052
31,1401.0,1925.0,0.7924841628411166
32,1388.0,2006.0,0.7014388908307094
33,1616.0,3182.0,0.7522991386512237
34,1678.0,3721.0,0.8084773308065558
35,1676.0,3405.0,0.7764664256255438
36,1626.0,3526.0,0.7958639622880032
37,1180.0,1660.0,0.6942907005734196
38,1669.0,2909.0,0.8080483977176119
39,1747.0,4314.0,0.7862983029712797
40,1618.0,3980.0,0.776440371326035
41,1736.0,2763.0,0.7731469794456568
42,1673.0,2836.0,0.7927876866950458
43,1446.0,2438.0,0.7230450028010018
44,1537.0,2880.0,0.8184680892344229
45,1581.0,4031.0,0.8023371370792983
46,1262.0,2468.0,0.7415165144192682
47,1708.0,3961.0,0.8123956401387915
48,1528.0,2781.0,0.7700678118156127
49,1282.0,2446.0,0.703298414980655
50,1449.0,3805.0,0.7171135816384012
51,1419.0,4441.0,0.7452416641684128
52,1503.0,1823.0,0.753975628560841
53,1412.0,2837.0,0.7394424911359327
54,1529.0,3359.0,0.756751831315081
55,1395.0,2289.0,0.6726551563229095
56,1800.0,4681.0,0.8413442811959532
57,1587.0,2275.0,0.821748578252398
58,1462.0,2191.0,0.7239928191579422
59,1714.0,4129.0,0.7779108809168209
60,1512.0,2980.0,0.7687825350066558
61,1507.0,3246.0,0.7363757218498789
62,1736.0,3253.0,0.7980975080109086
63,1748.0,4763.0,0.7640899451846498
64,1364.0,2481.0,0.7216427346846924
65,1471.0,2576.0,0.703543989361527
66,1681.0,3760.0,0.7750325700289886
67,1703.0,3044.0,0.7912070494195939
68,1347.0,1925.0,0.7527949614767024
69,1709.0,2839.0,0.7753313636013688
70,1716.0,2770.0,0.8051183621241181
71,1946.0,3329.0,0.8382620783693906
72,1697.0,3756.0,0.8067980041631275
73,1630.0,3684.0,0.7776353376416574
74,1529.0,3154.0,0.80007426344014
75,1702.0,3910.0,0.8141526562227709
76,1679.0,4032.0,0.7925845640848276
77,1681.0,3586.0,0.8285498564722348
78,1287.0,2010.0,0.7575886057712065
79,1566.0,3128.0,0.7588392558761256
80,1655.0,3079.0,0.7781873712621613
81,1731.0,2699.0,0.7662994192068356
82,1603.0,3412.0,0.7767839274971939
83,1548.0,2829.0,0.7680313840118436
84,1675.0,3232.0,0.7953195735428745
85,1826.0,3991.0,0.8432665655032857
86,1452.0,2290.0,0.7815132778790951
87,1416.0,2272.0,0.7189363624628864
88,1363.0,2020.0,0.7038363471731255
89,1429.0,3020.0,0.67905738618036
90,1712.0,4038.0,0.7970673019395382
91,1494.0,3685.0,0.6956633941093948
92,1449.0,3607.0,0.7469630183040691
93,1504.0,4602.0,0.7514504019666443
94,1493.0,2752.0,0.802575458077243
95,1697.0,2830.0,0.7762393024164725
96,1345.0,2719.0,0.6905650798013434
97,1691.0,3802.0,0.7704609324269324
98,1690.0,3567.0,0.7725787429263892
99,1663.0,3805.0,0.7641318733542749
100,1442.0,2826.0,0.7684271988174399
