#{"t_start": 1783924879.8011262, "env_id": "None"}
r,l,t
3733.0,1000,6.776598
3860.0,1000,8.278284
4727.0,1000,9.893078
4321.0,1000,11.524098
4676.0,1000,12.412449
4592.0,1000,13.207519
2723.0,1000,13.975969
4575.0,1000,14.742252
4465.0,1000,15.565115
4557.0,1000,16.504206
2595.0,1000,17.5822
4090.0,1000,18.96104
890.0,1000,21.125169
1573.0,1000,23.331467
4613.0,1000,25.481216
4298.0,1000,26.824565
1561.0,1000,27.608327
2653.0,1000,28.43555
881.0,1000,29.25479
2809.0,1000,30.120178
4457.0,1000,31.002757
4335.0,1000,31.956153
4595.0,1000,32.82929
4621.0,1000,33.599601
4412.0,1000,35.18638
4294.0,1000,37.766918
4677.0,1000,40.032668
4412.0,1000,42.119157
4715.0,1000,43.76634
2774.0,1000,44.717846
4604.0,1000,45.52125
4407.0,1000,46.345963
2917.0,1000,47.129753
2449.0,1000,47.998093
4257.0,1000,49.040226
4491.0,1000,50.019284
2612.0,1000,50.864011
3909.0,1000,51.858985
4820.0,1000,52.801892
4504.0,1000,54.438308
2571.0,1000,56.869999
2813.0,1000,59.147394
4425.0,1000,60.912093
4375.0,1000,62.758928
4433.0,1000,64.636051
2629.0,1000,66.939034
4481.0,1000,69.448532
4326.0,1000,71.994113
4461.0,1000,74.486397
4233.0,1000,76.399083
