#{"t_start": 1783924932.2678447, "env_id": "None"}
r,l,t
4174.0,1000,5.072246
4060.0,1000,7.096357
4077.0,1000,8.811742
3471.0,1000,10.799091
2985.0,1000,13.045399
2922.0,1000,15.722828
4427.0,1000,18.521351
3727.0,1000,21.251363
3606.0,1000,23.556943
2014.0,1000,25.196379
3774.0,1000,26.381274
1537.0,1000,28.689032
3280.0,1000,30.989285
3684.0,1000,32.477239
3120.0,1000,33.596772
2718.0,1000,34.656545
3613.0,1000,35.870637
3163.0,1000,36.855234
3181.0,1000,37.974694
2259.0,1000,39.258782
3614.0,1000,40.467592
3595.0,1000,41.605165
4666.0,1000,42.70504
4347.0,1000,44.438708
4236.0,1000,46.392493
3812.0,1000,48.36582
2596.0,1000,50.747447
3658.0,1000,52.730739
2859.0,1000,54.74843
2959.0,1000,56.610845
2886.0,1000,58.456356
4150.0,1000,60.320462
4386.0,1000,62.076535
3487.0,1000,63.945545
2946.0,1000,65.896796
3410.0,1000,67.846513
2245.0,1000,69.73842
3624.0,1000,71.632689
3739.0,1000,73.452848
2918.0,1000,75.269368
2682.0,1000,77.114053
3157.0,1000,78.958764
3550.0,1000,80.786121
2689.0,1000,82.628922
1866.0,1000,84.498608
3690.0,1000,86.357527
2974.0,1000,88.217206
2433.0,1000,90.069258
4664.0,1000,91.879359
2461.0,1000,93.693606
