#{"t_start": 1784181847.2967741, "env_id": "None"}
r,l,t
3583.0,1000,2.970896
3364.0,1000,3.393135
3212.0,1000,5.045048
3078.0,1000,5.522353
3417.0,1000,8.813203
3542.0,1000,10.248435
3405.0,1000,14.421177
3294.0,1000,15.888422
3975.0,1000,18.537694
3590.0,1000,18.984494
3014.0,1000,20.550926
3203.0,1000,20.982094
4321.0,1000,24.712866
3336.0,1000,26.164019
3357.0,1000,30.400925
3809.0,1000,31.853539
3415.0,1000,36.282782
3167.0,1000,37.690016
3465.0,1000,41.8113
3102.0,1000,43.232648
2978.0,1000,47.371436
2783.0,1000,48.671524
3469.0,1000,50.392963
3446.0,1000,50.888638
3665.0,1000,52.361977
3849.0,1000,52.827821
3211.0,1000,54.252631
3685.0,1000,55.491739
3540.0,1000,59.749052
3555.0,1000,60.482151
3851.0,1000,61.940237
3650.0,1000,62.40943
4115.0,1000,64.069497
3397.0,1000,66.120192
3594.0,1000,70.661009
4158.0,1000,71.88303
3293.0,1000,76.183152
3575.0,1000,77.345866
3355.0,1000,79.183898
4110.0,1000,79.602248
3648.0,1000,82.044063
2834.0,1000,83.466496
3119.0,1000,84.9536
3050.0,1000,89.339967
3528.0,1000,90.769781
4116.0,1000,95.111655
3869.0,1000,96.531288
3250.0,1000,100.743372
3795.0,1000,102.173108
3202.0,1000,106.294796
3445.0,1000,107.639908
