#{"t_start": 1783924969.7526803, "env_id": "None"}
r,l,t
1240.0,1000,3.337971
1325.0,1000,4.526423
1361.0,1000,5.996516
1477.0,1000,7.651182
1349.0,1000,9.241048
1112.0,1000,10.81826
1169.0,1000,12.839844
1130.0,1000,14.527862
1153.0,1000,15.9719
932.0,1000,17.701177
1021.0,1000,19.188169
1094.0,1000,20.66001
1157.0,1000,22.202303
798.0,1000,23.65885
1290.0,1000,25.073777
1058.0,1000,26.631822
1260.0,1000,28.230063
1219.0,1000,29.796263
810.0,1000,31.333491
935.0,1000,32.845748
1412.0,1000,34.356411
1347.0,1000,35.793411
1083.0,1000,37.232319
1449.0,1000,38.665804
892.0,1000,40.145134
1081.0,1000,41.601827
1160.0,1000,43.039353
1302.0,1000,44.49476
1444.0,1000,45.991143
1072.0,1000,47.445668
1256.0,1000,48.92876
1110.0,1000,50.385998
1186.0,1000,51.86689
875.0,1000,53.298852
1189.0,1000,54.739893
1423.0,1000,56.170029
1150.0,1000,57.601904
1290.0,1000,58.498211
1724.0,1000,59.28285
1024.0,1000,60.040287
1095.0,1000,60.786555
1108.0,1000,61.528943
1400.0,1000,62.255324
1165.0,1000,63.080327
1619.0,1000,63.84277
1171.0,1000,64.58893
1307.0,1000,65.348015
1304.0,1000,66.107543
1332.0,1000,66.892431
1374.0,1000,67.626088
